race,category,category_order,district,first,middle,last,suffix,name,slug,party,party_order,incumbent,filed,fecid,fecpacid,tecid,tecpacid,new_order,order
Governor,gov,1,,Wendy,R.,Davis,,Wendy R. Davis,wendy-davis,D,1,,TRUE,,,00062095,00069581,1,197
Governor,gov,1,,Reynaldo,,Madrigal,,Reynaldo Madrigal,ray-madrigal,D,1,,TRUE,,,00020301,,3,198
Governor,gov,1,,Brandon,,Parmer,,Brandon Parmer,brandon-parmer,G,4,,TRUE,,,00069701,,4,199
Governor,gov,1,,Cynthia,T.,Cavazos Roman,,Cynthia T. Cavazos Roman,cynthia-t-cavazos-roman,I,5,,TRUE,,,00069817,,5,200
Governor,gov,1,,Demetra,,Jefferson-Wysinger,,Demetra Jefferson-Wysinger,demetra-jefferson-wysinger,I,5,,TRUE,,,00069827,,6,201
Governor,gov,1,,Anthony,,Marsh,,Anthony Marsh,anthony-marsh,I,5,,TRUE,,,00069849,,7,202
Governor,gov,1,,Donald,Luther,Richardson,,Donald Luther Richardson,donald-luther-richardson,I,5,,TRUE,,,00069850,,8,203
Governor,gov,1,,Robert,J.,Bell,,Robert J. Bell,robert-bell,L,3,,TRUE,,,00069656,,9,204
Governor,gov,1,,Robert,Lynn,Garrett,,Robert Lynn Garrett,robert-lynn-garrett,L,3,,TRUE,,,00069845,,10,205
Governor,gov,1,,Kathie,,Glass,,Kathie Glass,katherine-youngblood-glass,L,3,,TRUE,,,00066314,,11,206
Governor,gov,1,,Star,,Locke,,Star Locke,star-locke,L,3,,TRUE,,,00058626,,12,207
Governor,gov,1,,Lee,,Wrights,,Lee Wrights,lee-wrights,L,3,,TRUE,,,00069419,,13,208
Governor,gov,1,,Greg,,Abbott,,Greg Abbott,greg-abbott,R,2,,TRUE,,,00019652,00051153,14,209
Governor,gov,1,,Lisa,,Fritsch,,Lisa Fritsch,lisa-fritsch,R,2,,TRUE,,,00069550,,16,210
Governor,gov,1,,SECEDE,,Kilgore,,SECEDE Kilgore,larry-kilgore,R,2,,TRUE,,,00054818,,17,211
Governor,gov,1,,Miriam,,Martinez,,Miriam Martinez,miriam-martinez,R,2,,TRUE,,,00067950,,18,212
Lieutenant Governor,lt-gov,2,,Leticia,,Van de Putte,,Leticia Van de Putte,leticia-van-de-putte,D,1,,TRUE,,,00020909,00069858,19,213
Lieutenant Governor,lt-gov,2,,Chandrakantha,,Courtney,,Chandrakantha Courtney,chandrakantha-courtney,G,4,,TRUE,,,00069860,,21,214
Lieutenant Governor,lt-gov,2,,Maria,Luisa,Alvarado,,Maria Luisa Alvarado,maria-luisa-alvarado,I,5,,TRUE,,,00057429,,22,215
Lieutenant Governor,lt-gov,2,,Brandon,,De Hoyos,,Brandon De Hoyos,brandon-de-hoyos,L,3,,TRUE,,,00069546,,23,216
Lieutenant Governor,lt-gov,2,,David,,Dewhurst,,David Dewhurst,david-dewhurst,R,2,TRUE,TRUE,,,00036668,00036671,24,217
Lieutenant Governor,lt-gov,2,,Dan,,Patrick,,Dan Patrick,dan-patrick,R,2,,TRUE,,,00057897,00064090,26,218
Lieutenant Governor,lt-gov,2,,Jerry,,Patterson,,Jerry Patterson,jerry-patterson,R,2,,TRUE,,,00020841,,28,219
Lieutenant Governor,lt-gov,2,,Todd,,Staples,,Todd Staples,todd-staples,R,2,,TRUE,,,00030004,00057503,29,220
Attorney General,atty-general,3,,Sam,,Houston,,Sam Houston,sam-houston,D,1,,TRUE,,,00062474,,31,221
Attorney General,atty-general,3,,Jamar,,Osborne,,Jamar Osborne,jamar-osborne,G,4,,TRUE,,,00069861,,32,222
Attorney General,atty-general,3,,Jamie,,Balagia,,Jamie Balagia,jamie-balagia,L,3,,TRUE,,,00069873,,33,223
Attorney General,atty-general,3,,Thomas,,Glass,,Thomas Glass,tom-glass,L,3,,TRUE,,,00068491,,34,224
Attorney General,atty-general,3,,Dan,,Branch,,Dan Branch,dan-branch,R,2,,TRUE,,,00031204,00062488,35,225
Attorney General,atty-general,3,,Ken,,Paxton,,Ken Paxton,ken-paxton,R,2,,TRUE,,,00051407,,37,226
Attorney General,atty-general,3,,Barry,,Smitherman,,Barry Smitherman,barry-smitherman,R,2,,TRUE,,,00054081,00067958,38,227
Comptroller,comptroller,4,,Mike,,Collier,,Mike Collier,mike-collier,D,1,,TRUE,,,00069397,,40,228
Comptroller,comptroller,4,,Deb,,Shafto,,Deb Shafto,deb-shafto,G,4,,TRUE,,,00066498,,41,229
Comptroller,comptroller,4,,Ben,,Sanders,,Ben Sanders,ben-sanders,L,3,,TRUE,,,00069877,,42,230
Comptroller,comptroller,4,,Glenn,,Hegar,,Glenn Hegar,glenn-hegar,R,2,,TRUE,,,00051286,,43,231
Comptroller,comptroller,4,,Harvey,,Hilderbran,,Harvey Hilderbran,harvey-hilderbran,R,2,,TRUE,,,00020285,00067537,44,232
Comptroller,comptroller,4,,Debra,,Medina,,Debra Medina,debra-medina,R,2,,TRUE,,,00065376,,46,233
Comptroller,comptroller,4,,Raul,,Torres,,Raul Torres,raul-torres,R,2,,TRUE,,,00061992,,47,234
Land Commissioner,land-commissioner,5,,John,,Cook,,John Cook,john-cook,D,1,,TRUE,,,00037443,,48,235
Land Commissioner,land-commissioner,5,,Ulises,,Cabrera,,Ulises Cabrera,ulises-cabrera,G,4,,TRUE,,,00069862,,49,236
Land Commissioner,land-commissioner,5,,Steven,L.,Childs,,Steven L. Childs,steven-childs,L,3,,TRUE,,,00069875,,50,237
Land Commissioner,land-commissioner,5,,Justin,,Knight,,Justin Knight,justin-knight,L,3,,TRUE,,,00069876,,51,238
Land Commissioner,land-commissioner,5,,George,P.,Bush,,George P. Bush,george-p-bush,R,2,,TRUE,,,00068738,,52,239
Land Commissioner,land-commissioner,5,,David,,Watts,,David Watts,david-watts,R,2,,TRUE,,,00069332,,53,240
Agriculture Commissioner,ag-commissioner,6,,Hugh,Asa,Fitzsimons,III,Hugh Asa Fitzsimons III,hugh-asa-fitzsimons-iii,D,1,,TRUE,,,00069770,,54,241
Agriculture Commissioner,ag-commissioner,6,,Richard,,Friedman,,Richard Friedman,richard-kinky-friedman,D,1,,TRUE,,,00056764,00069395,55,242
Agriculture Commissioner,ag-commissioner,6,,Jim,,Hogan,,Jim Hogan,jim-hogan,D,1,,TRUE,,,00069729,,57,243
Agriculture Commissioner,ag-commissioner,6,,Kenneth,,Kendrick,,Kenneth Kendrick,kenneth-kendrick,G,4,,TRUE,,,00069863,,58,244
Agriculture Commissioner,ag-commissioner,6,,Rick,,Donaldson,,Rick Donaldson,rick-donaldson,L,3,,TRUE,,,00020045,,59,245
Agriculture Commissioner,ag-commissioner,6,,David,,Palmquist,,David Palmquist,rocky-palmquist,L,3,,TRUE,,,00069874,,60,246
Agriculture Commissioner,ag-commissioner,6,,J.,Allen,Carnes,,J. Allen Carnes,j-allen-carnes,R,2,,TRUE,,,00069296,00069297,61,247
Agriculture Commissioner,ag-commissioner,6,,Joe,,Cotten,,Joe Cotten,joe-cotten,R,2,,TRUE,,,00068368,,63,248
Agriculture Commissioner,ag-commissioner,6,,Tommy,,Merritt,,Tommy Merritt,tommy-merritt,R,2,,TRUE,,,00023181,,64,249
Agriculture Commissioner,ag-commissioner,6,,Sid,,Miller,,Sid Miller,sid-miller,R,2,,TRUE,,,00042143,,65,250
Agriculture Commissioner,ag-commissioner,6,,Eric,,Opiela,,Eric Opiela,eric-opiela,R,2,,TRUE,,,00051711,,66,251
Railroad Commissioner,rr-commissioner,7,2,Steve,,Brown,,Steve Brown,steve-brown,D,1,,TRUE,,,00057996,,67,252
Railroad Commissioner,rr-commissioner,7,2,Dale,,Henry,,Dale Henry,dale-henry,D,1,,TRUE,,,00054417,,68,253
Railroad Commissioner,rr-commissioner,7,2,Martina,,Salinas,,Martina Salinas,martina-salinas,G,4,,TRUE,,,00069864,,69,254
Railroad Commissioner,rr-commissioner,7,2,Jason,Marshall,Kute,,Jason Marshall Kute,jason-marshall-kute,L,3,,TRUE,,,00069880,,70,255
Railroad Commissioner,rr-commissioner,7,2,Mark,A.,Miller,,Mark A. Miller,mark-miller,L,3,,TRUE,,,00069542,,71,256
Railroad Commissioner,rr-commissioner,7,2,Becky,,Berger,,Becky Berger,becky-berger,R,2,,TRUE,,,00067906,00069341,72,257
Railroad Commissioner,rr-commissioner,7,2,Malachi,,Boyuls,,Malachi Boyuls,malachi-boyuls,R,2,,TRUE,,,00066055,00069306,74,258
Railroad Commissioner,rr-commissioner,7,2,Wayne,,Christian,,Wayne Christian,wayne-christian,R,2,,TRUE,,,00032395,,76,259
Railroad Commissioner,rr-commissioner,7,2,Ryan,,Sitton,,Ryan Sitton,ryan-sitton,R,2,,TRUE,,,00067797,,77,260
Supreme Court of Texas,chief-justice,8,1,William,,Moody,,William Moody,bill-moody,D,1,,TRUE,,,00020501,,78,261
Supreme Court of Texas,chief-justice,8,1,Tom,,Oxford,,Tom Oxford,tom-oxford,L,3,,TRUE,,,00055017,,79,262
Supreme Court of Texas,chief-justice,8,1,Nathan,,Hecht,,Nathan Hecht,nathan-hecht,R,2,TRUE,TRUE,,,00020155,,80,263
Supreme Court of Texas,chief-justice,8,1,Robert,,Talton,,Robert Talton,robert-talton,R,2,,TRUE,,,00020836,,81,264
Supreme Court of Texas,justice,9,6,Lawrence,Edward,Meyers,,Lawrence Edward Meyers,lawrence-meyers,D,1,,TRUE,,,00020530,,82,265
Supreme Court of Texas,justice,9,6,Mark,,Ash,,Mark Ash,mark-ash,L,3,,TRUE,,,00068347,,83,266
Supreme Court of Texas,justice,9,6,Jeff,,Brown,,Jeff Brown,jeff-brown,R,2,TRUE,TRUE,,,00051706,,84,267
Supreme Court of Texas,justice,9,6,Joe,,Pool,,Joe Pool,joe-pool-jr,R,2,,TRUE,,,00068006,,85,268
Supreme Court of Texas,justice,9,7,Gina,,Benavides,,Gina Benavides,gina-benavides,D,1,,TRUE,,,00043618,,86,269
Supreme Court of Texas,justice,9,7,Charles,E.,Waterbury,,Charles E. Waterbury,charles-e-waterbury,G,4,,TRUE,,,00059044,,87,270
Supreme Court of Texas,justice,9,7,Don,,Fulton,,Don Fulton,don-fulton,L,3,,TRUE,,,00069879,,88,271
Supreme Court of Texas,justice,9,7,Jeff,,Boyd,,Jeff Boyd,jeffrey-boyd,R,2,TRUE,TRUE,,,00068755,,89,272
Supreme Court of Texas,justice,9,8,Jim,,Chisolm,,Jim Chisolm,jim-chisolm,G,4,,TRUE,,,00069865,,90,273
Supreme Court of Texas,justice,9,8,Roberto,,Koelsch,,Roberto Koelsch,rs-roberto-koelsch,L,3,,TRUE,,,00068346,,91,274
Supreme Court of Texas,justice,9,8,Phil,,Johnson,,Phil Johnson,phil-johnson,R,2,TRUE,TRUE,,,00036636,,92,275
Supreme Court of Texas,justice,9,8,Sharon,,McCally,,Sharon McCally,sharon-mccally,R,2,,TRUE,,,00054943,,93,276
Texas Court of Criminal Appeals,judge,10,3,John,,Granberg,,John Granberg,john-granberg,D,1,,TRUE,,,00069694,,94,277
Texas Court of Criminal Appeals,judge,10,3,Mark,,Bennett,,Mark Bennett,mark-w-bennett,L,3,,TRUE,,,00068344,,95,278
Texas Court of Criminal Appeals,judge,10,3,Bert,,Richardson,,Bert Richardson,bert-richardson,R,2,,TRUE,,,00041161,,96,279
Texas Court of Criminal Appeals,judge,10,3,Barbara,,Walther,,Barbara Walther,barbara-walther,R,2,,TRUE,,,00020908,,97,280
Texas Court of Criminal Appeals,judge,10,4,Judith,,Sanders-Castro,,Judith Sanders-Castro,judith-sanders-castro,G,4,,TRUE,,,00069866,,98,281
